,NAME,PSRJ,P0,P1,BINCOMP,DISC
125,J0525-6607,J0525-6607,8.047,6.5E-11,*,1979
126,B0525+21,J0528+2200,3.745539,4.01E-14,*,1968
127,B0529-66,J0529-6652,0.975725,1.55E-14,*,1983
128,J0532-6639,J0532-6639,0.642743,5.35E-15,*,2006
129,J0533+0402,J0533+0402,0.963018,1.6E-16,*,1997
130,J0533+6759,J0533+6759,0.004388,1.26E-20,*,2016
131,B0531+21,J0534+2200,0.033392,4.21E-13,*,1968
132,J0534-6703,J0534-6703,1.817565,4.25E-13,*,2006
133,J0535-6935,J0535-6935,0.200511,1.15E-14,*,2001
134,B0538-75,J0536-7543,1.245856,5.78E-16,*,1978
135,J0537-6910,J0537-6910,0.016122,5.18E-14,*,1998
136,J0538+2817,J0538+2817,0.143158,3.67E-15,*,1995
137,J0540+3207,J0540+3207,0.524271,4.48E-16,*,2006
138,B0540-69,J0540-6919,0.05057,4.79E-13,*,1984
139,J0540-7125,J0540-7125,1.286015,8.2E-16,*,1998
140,B0540+23,J0543+2329,0.245975,1.54E-14,*,1972
141,J0543-6851,J0543-6851,0.708954,3.94E-15,*,2006
142,J0546+2441,J0546+2441,2.84385,7.65E-15,*,2005
143,J0554+3107,J0554+3107,0.464961,1.43E-13,*,2013
144,J0555-7056,J0555-7056,0.827838,5.96E-15,*,2006
145,J0557+1550,J0557+1550,0.002556,7.35E-21,He[skl+15],2015
146,J0557-2948,J0557-2948,0.043643,7.3E-20,*,2018
147,B0559-57,J0600-5756,2.261365,2.78E-15,*,1978
148,B0559-05,J0601-0527,0.395969,1.3E-15,*,1978
149,J0605+3757,J0605+3757,0.002728,4.8E-21,He[san16],2016
150,J0609+2130,J0609+2130,0.055698,2.35E-19,*,2005
151,J0610-2100,J0610-2100,0.003861,1.24E-20,UL[pmd+12],2006
152,J0611+1436,J0611+1436,0.270329,4E-15,*,2017
153,B0609+37,J0612+3721,0.297982,5.95E-17,*,1985
154,J0612+37216,J0612+37216,0.443871,1.5E-16,*,2014
155,J0613-0200,J0613-0200,0.003062,9.59E-21,He[lnl+95],1995
156,J0613+3731,J0613+3731,0.619198,3.24E-15,*,2014
157,B0611+22,J0614+2229,0.33496,5.94E-14,*,1972
158,J0614-3329,J0614-3329,0.003149,1.75E-20,He[rrc+11],2011
159,J0621+0336,J0621+0336,0.269954,7.24E-18,*,2013
160,J0621+1002,J0621+1002,0.028854,4.73E-20,CO[kas12],1996
161,J0621+2514,J0621+2514,0.002722,2.48E-20,He[san16],2016
162,J0622+3749,J0622+3749,0.333208,2.54E-14,*,2012
163,J0623+0340,J0623+0340,0.61376,8.84E-17,*,2013
